Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
let-7a-5p	3039.93	3512.11	10200.63	6796.88	2893.64	4694.5	12972.09	8188.27	72464.33	4620.1	47665.57	48221.04	8980	4001.11	13627.06
let-7b-5p	1259.04	705.23	3981.85	3988.3	496.63	3020.73	6026.01	1202.3	32489.54	2981.13	27883.4	35331.46	5259.25	1952.38	5464.55
let-7c	244.35	68.46	715.03	402.07	77.63	380.61	400.82	52.2	613.01	153.4	793.1	946.63	616.7	209.48	1256.58
let-7d-5p	285.77	88.26	642.87	419.72	104.22	415.71	378.05	92.8	1117.67	129.18	887.28	958.29	457.16	311.43	633.57
let-7e-5p	383.51	368.7	387.03	550.14	343.49	478.89	259.62	238.64	1129.54	353.32	1605.49	1932.63	584.98	321.21	406.54
let-7f-5p	122.59	108.05	393.59	182.4	94.12	248.02	400.82	91.15	708	136.48	819.2	854.73	349.87	111.72	802.52
let-7g-5p	1186.98	728.32	6927.24	2584.01	1519.14	4352.1	15659.43	1738.41	22659.11	2986.9	14444.9	15510.66	2533.06	1483.14	7402.22
let-7i-5p	252.64	161.67	491.99	346.17	203.65	404.01	236.85	98.6	758.47	129.18	794.24	853.28	489.82	245.79	596.61
miR-1	39.76	34.64	203.36	24.52	35.63	13.26	104.76	26.52	56.4	10.38	26.1	24.8	25.19	40.5	89.76
miR-100-5p	863.11	1491.29	1115.18	1011.05	1179.36	646.58	1339.11	1402.83	2181.9	874.65	3366.43	3591.05	1005.76	991.55	1742.32
miR-101-3p	14.91	18.15	131.2	13.73	14.89	13.26	95.65	24.86	44.53	11.15	44.25	51.05	23.32	25.14	100.32
miR-103a-3p	18.22	14.02	104.96	15.69	7.44	11.7	68.32	15.74	34.14	5.38	29.5	24.8	13.99	11.17	47.52
miR-105-5p	9.11	18.97	137.76	17.65	18.61	16.38	31.88	21.54	40.08	9.23	40.85	46.67	21.46	23.74	68.64
miR-106a-5p	68.75	145.17	662.55	97.08	86.67	95.93	1357.33	578.37	679.8	171.47	588.87	672.41	129.69	96.36	913.4
miR-106b-5p	72.89	150.94	327.99	60.8	73.38	74.09	428.15	164.06	237.49	121.49	341.52	418.62	85.83	86.59	221.75
miR-107	157.38	70.11	472.31	199.07	82.42	225.4	460.04	64.63	495.75	97.65	575.25	484.25	139.95	113.12	459.34
miR-10a-5p	33.96	37.94	288.64	32.36	43.6	37.44	223.19	46.4	63.82	28.83	45.38	62.72	41.98	33.52	285.11
miR-10b-5p	21.54	23.92	85.28	28.44	37.22	9.36	45.55	44.74	34.14	19.22	34.04	36.46	19.59	33.52	63.36
miR-1178	18.22	26.39	111.52	24.52	17.55	17.16	81.99	29	35.62	9.23	14.75	33.55	17.73	26.53	89.76
miR-1179	24.02	30.52	124.64	20.59	11.17	10.92	122.98	9.94	31.17	7.3	17.02	11.67	27.06	37.71	79.2
miR-1180	94.43	23.92	157.44	221.63	30.31	233.2	95.65	41.43	1226.02	93.04	1065.41	1098.32	153.94	103.34	73.92
miR-1181	11.6	12.37	72.16	10.79	10.1	12.48	72.88	13.26	34.14	4.61	19.29	24.8	14.93	13.97	68.64
miR-1182	5.8	12.37	65.6	9.81	5.85	10.14	45.55	12.43	20.78	5.77	26.1	18.96	6.53	8.38	36.96
miR-1183	30.65	32.17	288.64	33.34	9.04	14.82	104.76	14.91	46.01	11.15	31.77	32.09	37.32	47.48	163.67
miR-1184	12.42	14.85	85.28	8.83	8.51	14.04	81.99	15.74	37.11	8.07	17.02	27.71	19.59	20.95	68.64
miR-1185-5p	13.25	28.04	111.52	17.65	7.98	10.14	91.1	24.86	22.26	10.38	11.35	27.71	23.32	20.95	58.08
