Mature_Name	Sample_9	Sample_11	Sample_12	Sample_7	Sample_15	Sample_3	Sample_1	Sample_10	Sample_14	Sample_6	Sample_13	Sample_4	Sample_5	Sample_8	Sample_2
let-7a-5p	167392.48	110107.38	111390.61	29965.51	31478.46	23563.41	7022.22	10672.42	9242.57	10844.29	20743.76	15700.79	6684.31	18914.89	8112.97
let-7b-5p	75050.78	64410.58	81615.69	13920.07	12623.09	9198.07	2908.39	6886.4	4509.99	6977.89	12148.84	9212.97	1147.22	2777.32	1629.07
let-7c	1416.05	1832.07	2186.71	925.9	2902.7	1651.71	564.46	354.36	483.9	879.22	1424.58	928.77	179.33	120.59	158.14
let-7d-5p	2581.81	2049.61	2213.66	873.29	1463.55	1485.03	660.13	298.4	719.4	960.29	1056.05	969.55	240.74	214.38	203.87
let-7e-5p	2609.24	3708.69	4464.38	599.73	939.11	894.05	885.91	816.17	741.99	1106.23	1351.31	1270.83	793.47	551.25	851.69
let-7f-5p	1635.49	1892.35	1974.44	925.9	1853.83	909.2	283.18	315.28	258.08	572.93	808.2	421.35	217.41	210.55	249.6
let-7g-5p	52342.51	33367.7	35829.63	36173.25	17099.11	16001.91	2741.92	6899.73	3426.04	10053.35	5851.36	5969.06	3509.2	4015.73	1682.42
let-7i-5p	1752.06	1834.69	1971.07	547.12	1378.17	1136.5	583.59	298.4	567.78	933.27	1131.48	799.65	470.43	227.77	373.45
miR-1	130.29	60.28	57.28	242	207.34	469.75	91.84	23.98	93.55	30.63	58.19	56.63	82.29	61.25	80.02
miR-100-5p	5040.19	7776.45	8295.33	3093.35	4024.75	2576.06	1993.78	2020.45	2290.48	1493.59	2323.3	2335.52	2724.33	3240.53	3444.87
miR-101-3p	102.86	102.22	117.93	220.95	231.73	303.07	34.44	25.76	58.07	30.63	53.88	31.71	34.39	57.42	41.92
miR-103a-3p	78.86	68.15	57.28	157.82	109.77	242.45	42.1	12.43	25.81	27.03	32.33	36.24	17.2	36.37	32.39
miR-105-5p	92.57	94.36	107.82	73.65	158.55	318.22	21.05	21.31	54.84	37.84	49.57	40.78	42.99	49.77	43.82
miR-106a-5p	1570.34	1360.29	1553.27	3135.44	2109.95	1530.49	158.81	396.1	222.6	221.61	299.57	224.26	200.21	1336.02	335.34
miR-106b-5p	548.59	788.92	967	989.03	512.24	757.67	168.38	280.64	200.01	171.16	198.28	140.45	169.5	378.99	348.68
miR-107	1145.19	1328.84	1118.62	1062.68	1061.07	1091.04	363.55	225.58	261.31	520.68	323.28	459.86	190.38	149.3	161.95
miR-10a-5p	147.43	104.84	144.88	515.56	658.6	666.75	78.45	66.61	77.42	86.48	96.98	74.75	100.72	107.19	87.65
miR-10b-5p	78.86	78.63	84.23	105.22	146.35	196.99	49.75	44.41	77.42	21.62	45.26	65.69	85.98	103.36	55.26
miR-1178	82.29	34.07	77.49	189.39	207.34	257.61	42.1	21.31	61.29	39.64	40.95	56.63	40.53	66.99	60.97
miR-1179	72	39.31	26.95	284.08	182.94	287.91	55.49	16.87	87.1	25.22	62.5	47.57	25.79	22.97	70.5
miR-1180	2832.1	2461.1	2537.12	220.95	170.75	363.68	218.13	214.92	238.73	538.7	355.61	511.96	70.01	95.7	55.26
miR-1181	78.86	44.56	57.28	168.35	158.55	166.69	26.79	10.66	32.26	28.83	34.48	24.92	23.34	30.63	28.58
miR-1182	48	60.28	43.8	105.22	85.37	151.53	13.39	13.32	19.36	23.42	15.09	22.65	13.51	28.71	28.58
miR-1183	106.29	73.39	74.13	242	378.08	666.75	70.8	25.76	109.68	34.23	86.21	77.02	20.88	34.45	74.31
miR-1184	85.72	39.31	64.02	189.39	158.55	196.99	28.7	18.65	48.39	32.43	45.26	20.39	19.65	36.37	34.3
miR-1185-5p	51.43	26.21	64.02	210.43	134.16	257.61	30.61	23.98	48.39	23.42	53.88	40.78	18.42	57.42	64.78
miR-1193	68.57	60.28	43.8	199.91	195.14	166.69	32.53	18.65	74.2	25.22	38.79	36.24	33.16	42.11	22.86
miR-1197	82.29	55.04	50.54	231.48	280.51	348.53	24.87	16.87	64.52	19.82	32.33	61.16	22.11	45.94	49.54
miR-1200	92.57	31.45	60.65	252.52	231.73	530.37	44.01	19.54	87.1	18.02	51.72	49.84	19.65	66.99	43.82
miR-1202	140.58	94.36	67.39	294.6	146.35	272.76	47.84	34.64	77.42	41.44	62.5	63.43	38.08	78.48	47.63
miR-1203	78.86	60.28	23.59	126.26	134.16	318.22	15.31	14.21	35.49	14.41	32.33	20.39	6.14	32.54	11.43
miR-1204	106.29	73.39	57.28	147.3	170.75	333.37	49.75	22.2	45.16	36.03	38.79	63.43	20.88	47.85	28.58
miR-1205	113.15	47.18	67.39	178.87	292.71	454.6	68.88	14.21	74.2	16.22	71.12	56.63	17.2	36.37	62.88
miR-1206	58.29	49.8	67.39	136.78	182.94	212.15	36.35	28.42	48.39	14.41	25.86	24.92	22.11	34.45	30.49
miR-1207-3p	61.72	55.04	64.02	147.3	73.18	303.07	9.57	13.32	22.58	12.61	17.24	29.45	6.14	24.88	17.15
miR-1208	68.57	39.31	33.69	178.87	121.96	303.07	32.53	12.43	32.26	34.23	56.04	31.71	33.16	55.51	51.44
miR-122-5p	48	47.18	53.91	91611.54	208323.73	196053.66	10774.42	4321.54	11749.2	9948.85	10560.46	9774.77	13.51	26.8	19.05
miR-1224-3p	37.72	34.07	40.43	84.17	24.39	196.99	7.65	7.1	41.94	9.01	17.24	22.65	6.14	13.4	1.91
miR-1224-5p	102.86	81.25	80.86	315.65	146.35	393.99	24.87	37.3	41.94	36.03	43.1	22.65	23.34	32.54	26.67
miR-1225-3p	37.72	57.66	37.06	178.87	182.94	303.07	45.92	20.43	35.49	43.24	38.79	47.57	29.48	40.2	41.92
miR-1225-5p	109.72	49.8	60.65	252.52	121.96	257.61	45.92	20.43	38.71	34.23	53.88	27.18	14.74	34.45	36.2
miR-1226-3p	109.72	117.94	114.56	315.65	195.14	409.14	89.93	23.98	67.75	36.03	75.43	61.16	30.71	59.34	55.26
miR-1227	48	18.35	40.43	147.3	146.35	106.07	28.7	13.32	38.71	16.22	25.86	20.39	9.83	17.23	15.24
miR-1228-3p	82.29	36.69	37.06	147.3	195.14	272.76	36.35	13.32	67.75	32.43	53.88	54.37	44.22	49.77	57.16
miR-1229	54.86	26.21	47.17	105.22	85.37	242.45	15.31	15.1	35.49	19.82	21.55	27.18	7.37	26.8	28.58
miR-1231	106.29	44.56	43.8	263.04	195.14	242.45	26.79	11.55	48.39	12.61	38.79	27.18	30.71	47.85	47.63
miR-1233	116.58	86.49	124.67	462.95	256.12	424.29	59.32	31.97	58.07	46.84	94.83	58.9	27.02	59.34	89.55
miR-1234	126.86	144.15	138.14	263.04	109.77	196.99	36.35	31.97	45.16	28.83	40.95	38.51	22.11	30.63	32.39
