Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
let-7a-2-3p	2	NA	1	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	1
let-7a-3p	106	74	62	73	91	59	58	68	60	69	44	36	78	81	30
let-7a-5p	56020	22226	41787	69144	27188	62426	33706	21979	94852	43473	104772	87628	62932	40729	21723
let-7b-3p	130	39	145	125	35	141	111	29	182	92	148	156	121	84	67
let-7b-5p	11288	1806	6985	17373	2346	15548	5460	1882	26635	8678	29362	23917	15481	8287	3482
let-7c-3p	3	2	6	7	NA	5	6	NA	1	4	5	5	2	3	NA
let-7c-5p	12290	2194	7667	18772	2858	16833	5921	2313	28828	9632	31777	25815	16792	9173	3842
let-7d-3p	302	35	129	443	48	455	116	36	764	225	704	585	413	244	67
let-7d-5p	1033	218	732	1695	265	1450	575	206	2591	868	2907	2463	1453	779	339
let-7e-3p	37	11	8	22	15	25	5	14	32	13	35	30	25	21	4
let-7e-5p	38706	16955	23379	47769	20516	42652	18652	16752	65279	29589	72979	60368	43531	28078	11961
let-7f-1-3p	8	6	14	10	6	10	14	4	4	12	10	8	10	9	8
let-7f-2-3p	22	12	15	33	8	26	29	6	33	19	28	20	24	18	11
let-7f-5p	13201	4091	16291	15747	5230	14638	13386	4031	21307	10483	22355	19533	14307	9386	8642
let-7g-5p	9247	3159	7955	11431	3892	10349	6566	3154	16615	7110	16491	14233	10097	6945	4312
let-7i-5p	9208	3162	7873	11326	3888	10309	6524	3140	16471	7092	16344	14096	10048	6917	4258
miR-1	15	7	1	7	13	4	2	4	6	6	6	7	3	6	1
miR-100-3p	39	43	7	18	40	14	7	28	3	28	3	3	12	31	3
miR-100-5p	53011	44528	18883	34728	49091	29467	10343	28332	21360	24670	19032	14406	19200	18646	4561
miR-101-3p	874	486	599	842	738	803	518	529	852	764	973	815	848	676	217
miR-101-5p	31	22	13	35	25	34	12	23	45	30	44	28	30	36	8
miR-103a-3p	5	3	8	4	2	8	5	3	5	6	5	7	2	7	5
miR-105-5p	8	3	NA	6	8	9	NA	7	18	6	14	12	11	5	NA
miR-106a-5p	303	256	370	193	265	179	307	212	114	213	86	91	191	214	193
miR-106b-3p	135	127	59	115	129	124	45	128	75	107	81	82	110	132	28
miR-106b-5p	186	232	86	143	258	143	77	219	85	193	80	69	121	193	49
miR-107	5	3	8	4	2	8	5	3	5	6	5	7	2	7	5
miR-10a-5p	22707	19867	36565	12213	22924	10461	26097	16963	770	14720	893	765	10229	13880	14991
miR-10b-5p	22657	19865	36317	12157	22911	10405	25889	16975	744	14694	862	744	10201	13843	14893
miR-1179	2	NA	1	4	1	2	NA	NA	4	2	8	6	1	NA	NA
miR-1180-3p	68	3	17	117	12	111	9	10	270	58	247	189	111	53	7
miR-1185-1-3p	22	22	NA	9	30	12	4	27	5	18	9	6	8	15	NA
miR-1185-2-3p	22	22	NA	9	30	12	4	27	5	18	9	6	8	15	NA
miR-1197	22	10	NA	18	21	14	NA	17	19	19	15	12	16	14	1
miR-122-3p	66	NA	558	46	NA	61	483	NA	NA	48	NA	NA	69	39	260
miR-122-5p	10865	11	130372	14894	42	12278	97997	14	17	8226	29	28	12714	7685	63376
miR-1224-3p	5	NA	NA	15	NA	9	NA	NA	17	4	12	14	4	6	NA
miR-1225-3p	1	NA	NA	4	NA	NA	NA	NA	6	NA	1	5	1	1	NA
miR-1225-5p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
miR-1227-3p	2	NA	NA	3	1	2	NA	NA	NA	NA	4	4	NA	1	NA
miR-1228-3p	1	NA	NA	1	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA
