Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-9-5p	609557	6396	3399	1579942	8068	1227020	4062	9661	3263194	898965	2638269	3753457	1461995	829045	3888
miR-26a-5p	859242	776124	314090	1088258	726736	890514	433944	851181	1175917	1085949	940386	1324182	1141331	957435	475802
miR-122-5p	304504	1258	2112406	367907	1731	263717	2371148	1944	1490	486791	841	1671	355043	413854	2011907
miR-21-5p	494834	761974	659397	407220	992713	308508	553787	1044123	65031	759907	50692	71528	359387	629977	529836
miR-143-3p	578234	1060411	143864	465444	1121071	360088	161174	1175625	113750	858529	90785	127332	424373	740980	152725
let-7a-5p	308794	218380	146529	458101	203879	383971	204702	233609	532512	407718	436353	660421	529426	360369	229379
miR-181a-5p	276390	225223	17349	409122	242477	348075	18414	277205	692201	356752	572402	777042	411813	307849	19387
miR-516b-5p	434621	759673	925	291250	751120	221980	1067	782606	953	657802	573	1101	259906	529904	1156
miR-128-3p	162539	4794	11379	473629	4885	387534	13152	5574	893568	225176	728325	1044350	456725	179115	12108
miR-148a-3p	191878	99070	811769	238579	106862	177985	987035	107881	11306	298354	9188	13358	214402	255071	816543
miR-126-3p	279370	433122	206043	219374	582300	173158	163697	648125	105478	385088	83351	118485	200677	339593	162743
miR-100-5p	223727	269014	98711	278396	329578	211956	98305	356650	261285	348641	216699	314699	251895	298027	80157
let-7f-5p	200431	98094	175731	312584	93595	263761	232342	104984	338019	269737	270926	395847	329370	235641	244964
miR-27b-3p	221827	255329	213482	217709	299606	166941	202304	338200	181747	294659	143022	203379	211375	248943	213072
miR-99a-5p	122692	30132	202090	277364	34021	216284	200888	37572	449950	169392	338205	493838	247567	139634	187995
miR-125b-5p	96743	37731	44476	200385	48012	181552	50722	56337	534347	126645	478081	636358	218985	118643	53909
miR-24-3p	213917	343031	60530	138435	433545	127252	57780	500678	74873	271491	62327	85142	147500	235891	58820
miR-101-3p	118514	122327	115867	159071	165665	116312	88543	177663	203034	166425	160259	232836	140349	140069	86409
miR-30d-5p	128453	174511	72138	132551	219504	104251	77342	242035	120328	181263	90156	131869	124736	159420	79990
let-7g-5p	113127	54490	96668	180531	51109	148941	126302	56314	189187	150025	149197	218570	179860	133832	131254
miR-517b-3p	179590	372255	345	90246	334858	83191	435	373584	326	221929	237	437	95358	196988	462
miR-517a-3p	179590	372254	345	90246	334858	83191	435	373583	326	221929	237	437	95358	196988	462
miR-27a-3p	159226	258387	22172	98987	335536	81550	22671	396266	18985	213484	15977	21215	99333	180374	23976
