Site	Platform	Technology	Instrument	Site_Platform
Lab001	A	PCR	BioRad	Lab001_A
Lab002	A	PCR	BioRad	Lab002_A
Lab003	A	PCR	BioRad	Lab003_A
Lab004	A	PCR	TaqCard	Lab004_A
Lab005	A	HYB	NanoString	Lab005_A
Lab005	B	HYB	NanoString	Lab005_B
Lab005	C	HYB	NanoString	Lab005_C
Lab005	D	HYB	NanoString	Lab005_D
Lab006	A	NGS	IonTorrent	Lab006_A
Lab006	B	NGS	MiSeq	Lab006_B
Lab007	A	NGS	HiSeq	Lab007_A
Lab007	B	NGS	MiSeq	Lab007_B
Lab008	A	NGS	HiSeq	Lab008_A
Lab009	A	NGS	HiSeq	Lab009_A
Lab010	A	PCR	BioRad	Lab010_A
Lab011	A	NGS	HiSeq	Lab011_A
Lab011	B	NGS	HiSeq	Lab011_B
Lab012	A	X	X	Lab012_A
